@relation 'ARFF for bata_2014.txt'

@attribute tweet string
@attribute @@class@@ {T, N, F, A}
% T = (True) Positive tweet
% N = Neutral tweet
% F = (False) Negative Tweet
% A = Alert tweet

@data
'Loop mee met de sportieve @jovdtwente en @JOVDnijmegen voor de Batavierenrace. Voor meer informatie: https://t.co/WuDLfPY1S9',N
'Loop mee met de @jovdtwente en @JOVDnijmegen voor de Batavierenrace. Aanmelden en voor meer informatie: https://t.co/7jwPF0E6gt',N
'Heeft jouw ploegleider alle benodigde bonnen al besteld? Dit is nog mogelijk tot 1 april! #geengrap #batavierenrace https://t.co/K3JjwY3sIt',N
'Heeft jouw ploegleider alle benodigde bonnen al besteld? Dit is nog mogelijk tot 1 april! #geengrap #batavierenrace http://t.co/RKdaaN35vx',N
'RT @Batavierenrace: Heeft jouw ploegleider alle benodigde bonnen al besteld? Dit is nog mogelijk tot 1 april! #geengrap #batavierenrace htt…',N
'De organisatie verwacht 300 deelnemers aan de Campusloop op 2 april. De race is peilmoment voor de @Batavierenrace: http://t.co/S8Vf3gp5tk',N
'RT @jovdtwente: Loop mee met de @jovdtwente en @JOVDnijmegen voor de Batavierenrace. Aanmelden en voor meer informatie: https://t.co/7jwPF0…',N
'Sport in Twente is out! http://t.co/tFdqJYDg11 Stories via @FBKGames @Batavierenrace @waterpoloNL',N
'Perfect weather for a run! Today\'s @Batavierenrace practice will start at 16:00 at the entrance to the Zernike. http://t.co/dkAa5waRdD',N
'Onverwachts toch een plekje in de batavierenrace bemachtigd! #letsgo #9&amp;10mei #estafette',N
'De Topicus organisatie van @batavierenrace druk in overleg! Just 5 weeks to go. @gvdstroom @irmaelise @liesbethpl http://t.co/XS4EBta9tP',N
'Bekijk nu de eerste aflevering van de #BataHelden! http://t.co/GzqXIj9wS1 #batavierenrace http://t.co/nLCrO6JF31',N
'Heuj, ingeschreven op de 22e etappe (8,9km) van de @Batavierenrace. Op naar Grolsch dus! =)',N
'Supergeinig filmpje van de @Batavierenrace. Mooie opwarmer! BataHelden aflevering 1: http://t.co/VRGZoS6B27 via @YouTube',N
'Ben je benieuwd hoe team Lekker Hard van de @Batavierenrace zich voorbereid? Bekijk de #BataHelden nu! #SUSA http://t.co/6CWUeGRIZ3',N
'Via de @Batavierenrace haal ik geld op voor KWF Kankerbestrijding. 10 mei loop ik 8,8 km. Mij sponsoren? http://t.co/Xq00dQc2DV',N
'Zo, weer n beetje bijgekomen na de hardloopclinic van Gert-Jan Liefers als voorbereiding op #ijsselloop en #batavierenrace #tof @topicusbv',N
'@TEC_Nijzink Heel veel succes met je actie voor Bata4life. En veel plezier tijdens de Batavierenrace!',N
'RT @dionsillen: Batavierenrace: \'evenement met goed doel\', niet andersom http://t.co/CGDmcOb2lP',N
'RT @irmaelise: Zo, weer n beetje bijgekomen na de hardloopclinic van Gert-Jan Liefers als voorbereiding op #ijsselloop en #batavierenrace #…',N
'Leuk om elkaar weer tegen te komen @marlyverhaeg @RUNijmegen 10 jaar na "onze" @Batavierenrace en @NSSR_Nijmegen periode. Succes!',N
'Weet jij al hoe je het best kan trainen voor de @Batavierenrace ? De #BataHelden laten je het zien! http://t.co/oFACl2J3Cp #SUSA',N
'Weet jij al hoe je het beste traint voor de @Batavierenrace ? De #BataHelden laten het je zien! http://t.co/SlinY7wNiR #SUSA',N
'De @Batavierenrace heeft dit jaar een extra lange etappe van 12,5 km, een mooie uitdaging voor de ervaren lopers: http://t.co/0ZnRIwNtnV',N
'De @Batavierenrace heeft dit jaar een extra lange etappe van 12,5 km - uitdaging voor ervaren lopers: http://t.co/fDavWeKmUC (via @UTNieuws)',N
'Nieuwsbrief met o.a. de VIB-does-SMdag, opzoek naar een nieuw bestuur en de testmomenten voor de Batavierenrace! - http://t.co/gOiK5M5WcP',N
'ESN participate the batavierenrace.\n\nBest international students,\n\nOn 10th of May starts the Batavierenrace.... http://t.co/XWkMjzcSj3',N
'ESN participate the batavierenrace.\n\nBest international students,\n\nOn 10th of May starts the Batavierenrace.... http://t.co/GQMUDL1hwa',N
'ESN participate the batavierenrace.\n\nBest international students,\n\nOn 10th of May starts the Batavierenrace. The Batavierenrace is a...',N
'Over ruim een uurtje begint de #CampusRun ter voorbereiding op de #Batavierenrace! Wie loopt er mee?',N
'Of ik ook de Batavierenrace ga lopen.\n\nHAHAHAHAHAHAHHAHAHAHAHAH nee.',N
'#batavierenrace is close',?
'Record aantal deelnemers campusloop http://t.co/KeS13nqfGA #tvefm #Enschede #campusloop #utwente #batavierenrace',?
'RT @tvefm: Record aantal deelnemers campusloop http://t.co/KeS13nqfGA #tvefm #Enschede #campusloop #utwente #batavierenrace',?
'De foto\'s van het #Bata4life benefietfeest staan op onze Facebook! #bata #batavierenrace http://t.co/47RHPUjznC',?
'Today\'s @Batavierenrace practice will start at 16:00 at the @Vindhek in the Noorderplantsoen. See you there!',?
'Er staan nog drie etappes open met de Batavierenrace! Help jij de Jonge Democraten mee met de titel "Sportiefste... http://t.co/KDCahGhxfE',?
'De busbonnen, dinerbonnen, ontbijtbonnen en slaapbandjes gaan op de post! #bata #batavierenrace… http://t.co/mhsxwQB0BY',?
'Reden #3. Steun de strijd tegen kanker via http://t.co/phaKWNaEk0. Schrijf je nu in! #bata4life #batavierenrace http://t.co/RLBl0s4kcJ',?
'RT @Batavierenrace: Reden #3. Steun de strijd tegen kanker via http://t.co/phaKWNaEk0. Schrijf je nu in! #bata4life #batavierenrace http://…',?
'Zo meteen op Twente FM: Batavierenrace...de voorbereiding is gaande',?
'Iets Gemist? Batavierenrace in voorbereiding op 08-04-2014 in Twente wordt Wakker http://t.co/daD2QNQsM0',?
'RT @Batavierenrace: De busbonnen, dinerbonnen, ontbijtbonnen en slaapbandjes gaan op de post! #bata #batavierenrace… http://t.co/mhsxwQB0BY',?
'Aangeboden: Startplekken in de @Batavierenrace! PM me bij interesse of voor meer informatie. #Bata #Batevierenrace',?
'Leuk idee! @studentmobiel #bata4life #batavierenrace ten bate van #kwf_nl http://t.co/FTvdKEVy0C',?
'Vanmiddag komt de sfeerimpressie video van het #bata4life benefietfeest online. #bata #batavierenrace http://t.co/Fij66br1Rv',?
'Het grote puzzelen voor het maken van de etappe indeling is begonnen! @Batavierenrace',?
'RT @jeroenmouw: Leuk idee! @studentmobiel #bata4life #batavierenrace ten bate van #kwf_nl http://t.co/FTvdKEVy0C',?
'@Batavierenrace @jeroenmouw @Studentmobiel Telefoon aan een USB-kabel hangen waarvan ik niet weet waar die op  is aangesloten? Slecht idee.',?
'ondanks goede intenties gisteren vier kwekkeboom kroketten gegeten, die finish wordt \'m niet #batavierenrace',?
'tijd om de love handles voor goed gedag te zeggen! #kasperobrien #batavierenrace',?
'wat vinden jullie van ons rode kruis? is een verwijzing naar de hulp die nodig zal zijn nadat de zoveelste etappe niet gehaald wordt #bata14',?
'lekker rennen #mauries #batavierenrace',?
'hipster alert! loek van kraaij doet ook mee #hip #batavierenrace',?
'@Batavierenrace het gaat er om dat duidelijk zichtbaar is dat het een stopcontact is. Is bij dat soort dingen nog wel eens niet het geval.',?
'@Batavierenrace en dan nog is het makkelijk om het te laten lijken alsof het een gewoon stopcontact is, en toch de telefoon leeg te trekken',?
'Norma sponsort dit jaar de @Batavierenrace. Wij wensen UT/Saxion Runningteam heel veel succes! http://t.co/QtvIrtdN5G http://t.co/OGDitgvcbg',?
'RT @NormaGroep: Norma sponsort dit jaar de @Batavierenrace. Wij wensen UT/Saxion Runningteam heel veel succes! http://t.co/QtvIrtdN5G http:…',?
'RT @NormaGroep: Norma sponsort dit jaar de @Batavierenrace. Wij wensen UT/Saxion Runningteam heel veel succes! http://t.co/QtvIrtdN5G http:…',?
'In training voor @Batavierenrace eindelijk weer aan één stuk mijn standaardrondje kunnen lopen. Dankzij schoenen van @spikeshop? #progressie',?
'RT @HansBraker: In training voor @Batavierenrace eindelijk weer aan één stuk mijn standaardrondje kunnen lopen. Dankzij schoenen van @spike…',?
'Vorig jaar haalde @Batavierenrace met Bata4Life €10.000 op voor KWF Kankerbestrijding. Dit jaar mikken ze op een ton:\nhttp://t.co/YQIvRnddX4',?
'42e Batavierenrace: De 42e editie van de Batavierenrace zal plaatsvinden op 10 mei 2014. Meer infor... http://t.co/wNEv5WRrNM #onderwijs',?
'De #batavierenrace komt in zicht! Als voorproefje waren we vandaag bij de Uros #Teamrace! http://t.co/V3ewVEA96w',?
'@HansHarmannij @Batavierenrace wel erg argwanend als ik zo vrij mag zijn.',?
'Studentfiets Enschede http://t.co/JaUKjigKV7',?
'De 25 Batahelden zijn bekend! 10 &amp; 11 Mei rennen we richting het bier @Batavierenrace https://t.co/unC96FIqqP http://t.co/wiYAVTZVDi',?
'RT @ESWZVNayade: De 25 Batahelden zijn bekend! 10 &amp; 11 Mei rennen we richting het bier @Batavierenrace https://t.co/unC96FIqqP http://t.co/…',?
'@NolRijken Dat is hartstikke leuk.heb getraind met m\'n dochter.zij loopt de batavierenrace.',T
'@Batavierenrace WTF? De app gaf een code rood notificatie met "Test uit de trein kdfsdkdsk". Aan het proberen of het systeem nog werkt?',F
'La época llego, te extrañaba #Bata2014 http://t.co/OkUzqIp6gS',?
'Vr-Zo 9-11 Mei : Batavierenrace 2014: Beste leden,   \n\nWe gaan dit jaar weer samen met All Terrain meedoen aan... http://t.co/lcgKUWHgCk',?
'#Batavierenrace is estafetteloop van Nijmegen naar Enschede. Zie voor buitengewoonnop team https://t.co/IkzsDtl4tD  (- moet zijn is teken)',?
'Reden #4. Steun de strijd tegen kanker via http://t.co/phaKWNaEk0. Schrijf je nu in #bata4life #batavierenrace http://t.co/KrKpTvvdzp',?
'RT @Batavierenrace: Reden #4. Steun de strijd tegen kanker via http://t.co/phaKWNaEk0. Schrijf je nu in #bata4life #batavierenrace http://t…',?
'Er zijn nog enkele plekken vrij om mee te doen aan de Batavierenrace 2014. Wil jij nog graag meerennen en feesten... http://t.co/SMtMN6QQSf',?
'Studenten Algemene Cultuurwetenschappen, Nederlands en Grieks &amp; Latijn nemen op 10 mei deel aan de @Batavierenrace. Teamnaam: #LetteRun.',?
'RT @ACW_RU: Studenten Algemene Cultuurwetenschappen, Nederlands en Grieks &amp; Latijn nemen op 10 mei deel aan de @Batavierenrace. Teamnaam: #…',?
'#Bata4life Nog op zoek naar: https://t.co/mvjY4IlTDR meld je aan! enschede@batavierenrace.nl',?
'Opkomend zonnetje, nat gras, fluitend vogeltje, beetje fris... Het lijkt wel de #Batavierenrace! Oh wacht, testdag. Op naar #Enschede.',?
'#Bata4life Organisatie van de Batavierenrace 10052014 Doe jij al mee? #KWF http://t.co/7kAsoBrzbX',?
'Happy Easter! There won\'t be a Batavierenrace training today. See you on Tuesday!',?
'Raalter student in organisatie Batavierenrace http://t.co/5D2KQs0HMv #overijssel #provincie #nieuwsoverijssel',?
'Raalter student in organisatie Batavierenrace http://t.co/bwyuYu8aPn #gelderlandnieuws #provincie #gelderland',?
'Raalter student in organisatie Batavierenrace http://t.co/UGtZ0m3mmN',?
'Raalter student in organisatie Batavierenrace: Raalte - De organisatie van de grootste estafetteloop ter werel... http://t.co/Nt1YLmLLO1',?
'Raalter student in organisatie Batavierenrace: De organisatie van de grootste estafetteloop ter were... http://t.co/pWvJ49sNia #Enschede',?
'Reden #5. Steun de strijd tegen kanker via http://t.co/phaKWNaEk0. Nog drie weken te gaan dus schrijf je… http://t.co/2fLrh2lOJ5',?
'Raalter student in organisatie Batavierenrace #newslocker http://t.co/Hordw3xeQI',?
'Count down till #batavierenrace : 20 days to go! Good luck everyone! #batahelden',?
'RT @Batavierenrace: Reden #5. Steun de strijd tegen kanker via http://t.co/phaKWNaEk0. Nog drie weken te gaan dus schrijf je… http://t.co/2…',?
'Heb jij je als sportstudent nog niet aangemeld voor de @Batavierenrace? Meld je aan via activiteitencommissie@trimovere.nl! @HANSportBewegen',?
'Zojuist weer aanmeldingen voor de @Batavierenrace ontvangen van drie fanatieke SBE\'ers!! Top! @HAN_SBE',?
'RT @TriMovere: Heb jij je als sportstudent nog niet aangemeld voor de @Batavierenrace? Meld je aan via activiteitencommissie@trimovere.nl! …',?
